AL_AuthorInfo_All(www.lib.ua.eduAlabama_Authors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author_Last_Name_First_Name,Author_Portrait_Link,Author_First_Name_Last_Name,Author_Pseudonym_Name,Author_Dates,City,Count,"Place(s) of Education (City, County)",Birth Place,Adult Residence(s) (City),"Place of Death (City, County)",Author_Biography,Source,Book_Publications,Book_Publications_post_2000,Other_Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CURZON, GRACE ELVINA TRILLIA HINDS",,GRACE ELVINA TRILLIA HINDS CURZON,,1879-1958,,,,,,,":</strong></p>
<p>Socialite.  Born April 14, 1879,  Decatur, Alabama. Parents  J. Monroe Hinds (former Ambassador to Brazil) and Lucia Anita Trillia Hinds.  Married (1) Alfred Duggan , May 1, 1902 (died 1915). Three children. Married (2) Lord George Nathaniel Curzon, February 2, 1917.  (Curzon, an influential British politician and former Viceroy of India, served as Foreign Secretary, 1919-1924; died 1925). As Marchioness Curzon of Kedleston, a leading figure in British society;  the first woman to be awarded the Grand Cross of the British Empire, 1922, for her work in support of the British Red Cross and Queen Alexandra's Nursing Association in World War I. Died June 25, 1958.</p>
<p>","s:</strong></p>
<p>Obituary, New York Times, 1958.</p>
<p>Encyclopedia Brittanica, 15th edition.</p>
<p>Pearson, Hesketh. Marrying Americans. New York; Coward McCann, 1961.  Pp. 116-127.</p>
<p>Owen's History of Alabama, Vol. 3 (entry for J. Monroe Hinds).</p>
<p>",":</strong></p>
<p>Reminiscences.  New York:  Coward-McCann, 1955.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAHL, EVELYN SMITH",,EVELYN SMITH DAHL,,1895-1977,,,,,,,";</strong></p>
<p>Writer.  Born: October 19, 1895, Muir's Station, Kentucky.  Parents:  Clifton B. and Lilla May (Hall) Smith.  Married (1) Robert Peddicord of Birmingham, September 16, 1916  (died 1935);  (2) John Albion Dahl of Mobile, January 29, 1946.  Education:  attended Ward-Belmont College, Nashville,  for two years; later attended the Cincinnati School of Expression. Worked as an accountant's clerk at TVA, 1940's.  Began writing for magazines and newspapers in 1940; worked as a staff writer for the <em>Southern Hotel Journal</em>.  Member of the Alabama Quill Club and the National League of American Penwomen; president of the Alabama Writers Conclave;  organizing president of the Mobile Branch of the National League of American Penwomen. Died April 1977.</p>
<p>","s:</strong></p>
<p>Montgomery Advertiser, December 5, 1958.</p>
<p>Files at the Alabama Department of Archives and History, Montgomery.</p>
<p>Atchison, Ray M., and Barefield, Paul.  ""Evelyn Dahl:  Author of <em>Belle of Destiny</em>, "" <em>Alabama Librarian</em>, XIII (1962), 45-46.</p>
<p>","(s):</strong></p>
<p>Brazilian Planning; Development, Politics, and Administration. Chapel Hill, N.C.: University of North Carolina Press, 1967.</p>
<p>A Brief Survey of Auditing Practices in Alabama.  University, Ala.:  Bureau of Public Administration, University of Alabama, 1954.</p>
<p>Bureaucracy in Brazil; Attitudes of Civilian Top Executives Toward Change. Austin, Tex.: Institute of Latin American Studies, University of Texas, 1972.</p>
<p>The County Buys Dunwoodie Golf Course. University, Ala.: University of Alabama Press, 1961.</p>
<p>Dixie City: A Portrait of Political Leadership. University, Ala.: Bureau of Public Administration, University of Alabama, 1956.</p>
<p>An Evaluation of Annexation Procedures in Alabama. Montgomery, Ala.: Alabama League of Municipalities, 1954.</p>
<p>Exploring Brazilian Bureaucracy; Performance and Pathology. Washington, D.C.: University Press of America, 1981.</p>
<p>Financing Municipal Sewerage Systems in Alabama.  Montgomery, Al.:  Bureau of Public Administration, University of Alabama, and the Alabama League of Municipalities, 1953.</p>
<p>Government and Health, the Alabama Experience. University, Ala.:  Bureau of Public Administration, University of Alabama, 1955.</p>
<p>Municipal Fringe Area Problem in Alabama. University, Ala.: Bureau of Public Administration, University of Alabama, 1953.</p>
<p>Public Health Administration in Alabama.  Dissertation, University of Wisconsin, 1952.</p>
<p>Public Recreation as a Municipal Service in Alabama. Montgomery, Ala.: Alabama League of Municipalities, 1953.</p>
<p>Some Aspects of Municipal Utility Administration in Alabama. Montgomery, Ala.: Alabama League of Municipalities, 1954.</p>
<p>A Strategy for Research in Comparative Urban Administration. Bloomington, Ind.: Comparative Administrative Group, American Society for Public Administration, 1966.</p>
<p>The Transfer of the Children's Camps. New York; Inter-University Case Program, 1960.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>(With David A. Johnston). A Brief Survey of Municipal Auditing Practices in Alabama. University, Ala.; Bureau of Public Administration, University of Alabama, 1954.</p>
<p>(With Asa Green). Revenues for Alabama's Cities. Montgomery, Ala.; Alabama League of Municipalities, 1956.</p>
<p><strong>Editor:</strong></p>
<p>Comparative Urban Research: The Administration and Politics of Cities. Beverly Hills, Calif.: Sage Publications, 1969.</p>
<p>Perspectives of Brazilian Public Administration. Los Angeles, Calif.: School of Public Administration, University of Southern California, 1963.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DALAND, ROBERT THEODORE",,ROBERT THEODORE DALAND,,1919-1994,,,,,,,":</strong></p>
<p>Professor of public administration; consultant. Born:October 3, 1919, Milton, Wisconsin. Parents:John Norton and Nellie (Furrow) Daland. Married (1) Dorothy Shaw, June 6, 1942; children: two. Married (2) Edwina Nary, November 20, 1979.  Education:Milton College, B.A., 1942; University of Wisconsin, M.A., 1947; Ph.D. 1952. U.S. Army service, 1942-45. Taught at the University of Alabama, 1949-1956; the University of Connecticut, 1959-61; the University of Southern California, 1961-63; University of North Carolina, 19636-1985.  Ford faculty fellow at the University of California, 1954-1955;  Metropolitan Region Program fellow at Columbia University, 1958-1959; Fulbright Fellow, Rio de Janeiro, 1968-69. Member of American Political Science Association, Southern Political Science Association, Policy Studies Association, American Society for Public Administration, Sierra Club, North Carolina Coastal Federation. Named professor emeritus, UNC, 1985.  Died July 22, 1994.</p>
<p>",":</strong></p>
<p>Contemporary Authors online; Marquis Who's Who online</p>
<p>","(s):</strong></p>
<p>Public Health Administration in Alabama.  Dissertation, University of Wisconsin, 1952.</p>
<p>Public Recreation as a Municipal Service in Alabama. Montgomery, Ala.: Alabama League of Municipalities, 1953.</p><p>Municipal Fringe Area Problem in Alabama. University, Ala.: Bureau of Public Administration, University of Alabama, 1953.</p><p>Financing Municipal Sewerage Systems in Alabama.  Montgomery, Al.:  Bureau of Public Administration, University of Alabama, and the Alabama League of Municipalities, 1953.</p><p>An Evaluation of Annexation Procedures in Alabama. Montgomery, Ala.: Alabama League of Municipalities, 1954.</p><p>Some Aspects of Municipal Utility Administration in Alabama. Montgomery, Ala.: Alabama League of Municipalities, 1954.</p><p>A Brief Survey of Auditing Practices in Alabama.  University, Ala.:  Bureau of Public Administration, University of Alabama, 1954.</p><p>Government and Health, the Alabama Experience. University, Ala.:  Bureau of Public Administration, University of Alabama, 1955.</p><p>Dixie City: A Portrait of Political Leadership. University, Ala.: Bureau of Public Administration, University of Alabama, 1956.</p><p>The Transfer of the Children's Camps. New York; Inter-University Case Program, 1960.</p><p>The County Buys Dunwoodie Golf Course. University, Ala.: University of Alabama Press, 1961.</p><p>A Strategy for Research in Comparative Urban Administration. Bloomington, Ind.: Comparative Administrative Group, American Society for Public Administration, 1966.</p><p>Brazilian Planning; Development, Politics, and Administration. Chapel Hill, N.C.: University of North Carolina Press, 1967.</p>
<p>Bureaucracy in Brazil; Attitudes of Civilian Top Executives Toward Change. Austin, Tex.: Institute of Latin American Studies, University of Texas, 1972.</p>
<p>Exploring Brazilian Bureaucracy; Performance and Pathology. Washington, D.C.: University Press of America, 1981.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>(With David A. Johnston). A Brief Survey of Municipal Auditing Practices in Alabama. University, Ala.; Bureau of Public Administration, University of Alabama, 1954.</p>
<p>(With Asa Green). Revenues for Alabama's Cities. Montgomery, Ala.; Alabama League of Municipalities, 1956.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>Comparative Urban Research: The Administration and Politics of Cities. Beverly Hills, Calif.: Sage Publications, 1969.</p>
<p>Perspectives of Brazilian Public Administration. Los Angeles, Calif.: School of Public Administration, University of Southern California, 1963.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DANGAIX, WILLIAM JOSEPH",,WILLIAM JOSEPH DANGAIX,,1864-1943,,,,,,,":</strong></p>
<p>Businessman (banking, insurance, real estate). Born:September 16, 1864, Philadelphia, Pa. Parents:Joseph and Mary (Lasserre) Dangaix. Education:  Institute d'Etudes francaises de Touraine, Tours, France; Sorbonne, Paris.   General agent, Southern States Agricultural Insurance Co. Organized and served as first president of the Birmingham Savings Bank, which later merged into the First National Bank of Birmingham. Retired from active business, 1908. Travelled widely; lived principally in Paris after retirement. Foreign agent of War Trade Board, Berne, Switzerland, 1918-19.  Died September 7, 1943.</p>
<p>",":</strong></p>
<p>Marquis Who's Who online.</p>
<p>","(s):</strong></p>
<p>How Latin America Affects Our Daily Life. New York; New York Institute for Public Service, 1917.</p>
<p>How We Affect Latin America's Daily Life. New York; New York Institute for Public Service, 1919.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DANIEL, ADRIAN GEORGE",,ADRIAN GEORGE DANIEL,,1921-1983,,,,,,,":</strong></p>
<p>Historian, university professor. Born:October 13, 1921, Talladega Springs. Parents:James Grady and Annie Lee Blalock Daniel. Education:Florence State Teachers College, 1940-1941; Abilene Christian College, A.B., 1957; University of Alabama, M.A., 1959. U.S. Army, 1942-45; 1946-54.  Taught history and Spanish, Huntsville High School, 1959-1960; taught history at the University of North Alabama, 1960-83. Member of the Alabama and American Historical Associations and the Alabama and National Education Associations.  Died December 27, 1983.</p>
<p>",":</strong></p>
<p>Library of Alabama Lives by Frank L. Grove.</p>
<p>","(s):</strong></p>
<p>Formative Period of TVA. New York; Carlton Press, 1973.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DANIEL, THOMAS WALTER, JR.",,"THOMAS WALTER DANIEL, JR.",,1922-2014,,,,,,,":</strong></p>
<p>Geologist. Born:January 24, 1922, Wetumpka. Parents:T.W. and Anne M. (Thomas) Daniel. Married:Madge Downing Cyr, June 15, 1948. Children:Three. Education:attended Port Arthur College, Tex., 1946-1947; University of Florida, B.S., 1952.  Served in U.S. Army Air Corps, WWII. Worked for Century Geophysics Corporation in Tulsa, 1952-1954.; radioactivity logging operator for Welex Corporation in Fort Worth, 1954-1955; a radio broadcasting technician in Bessemer, 1955-1956; staff geologist for the Geological Survey of Alabama, 1956-1960; head of the Office of Coal Research and a consultant to Public Service Coal, 1960- . Died June 21. 2014.</p>
<p>",":</strong></p>
<p>Who's Who in the South and Southwest, 1976; obituary.</p>
<p>","(s):</strong></p>
<p>Mineral Resources Map of Winston County, Alabama. University, Ala.; Alabama Geological Survey, 1969.</p>
<p>Mineral Resources of Bibb County, Alabama. University, Ala.; Alabama Geological Survey, 1976.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Geologic Map of Limestone County, Alabama. University, Ala.; Alabama Geological Survey, 1960.</p><p>Rock and Minerals of Alabama; a Guidebook for Alabama Rockhounds. University, Ala.; Alabama Geological Survey, 1966.</p>
<p>The Geology and Mineral Resources of Limestone-County, Alabama. University, Ala.; Alabama Geological Survey, 1968.</p>
<p>Mineral Resources Map of Choctaw County, Alabama. University, Ala.; Alabama Geological Survey, 1969.</p>
<p>Mineral Resources Map of Marion County, Alabama. University, Ala.; Alabama Geological Survey, 1969.</p><p>Mineral Resources of Wilcox County, Alabama. University, Ala.; Alabama Geological Survey, 1970.</p><p>Strippable Coal in the Fabius Area, Jackson County, Alabama. University, Ala.; Alabama Geological Survey, 1970.</p><p>Mineral Resources of Marion County, Alabama. University, Ala.; Alabama Geological Survey, 1972.</p><p>Exploring Alabama Caves. University, Ala.; Alabama Geological Survey, 1973.</p><p>A Strippable Lignite Bed in South Alabama. University, Ala.; Alabama Geological Survey, 1973.</p>
<p>The Mineral Resources of Limestone County. University, Ala.; Alabama Geological Survey, 1976.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DANTON, EMILY MILLER",,EMILY MILLER DANTON,,1888-1982,,,,,,,":</strong></p>
<p>Librarian; editor. Born:July 8, 1888, Jackson, Miss. Parents:Thomas Marshall and Anna Letitia Dabney Miller. Married:J. Peran Danton. Education:Newcomb College, B.A., 1907; additional study at Columbia University. Certified as a librarian in New York in 1911.  Branch assistant for the Minneapolis Public Library, 1911-1914; reference librarian in Birmingham Public Library, 1914-1920;  hospital librarian for the U.S. Public Health Service and the U. S. Veteran's Bureau, 1920-1923; editor of the ALA Booklist and other ALA Publications, 1923-1925; freelance worker for ALA, 1935-1937; director of Birmingham Public Library, 1947-55;  executive assistant in the Alabama Public Library Service, 1954.  Died August 1982.</p>
<p>",":</strong></p>
<p>Who's Who in Library Service, 1955.</p>
<p>","<p><strong>Source:</strong></p>
<p>Who's Who in Library Service, 1955.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>The Library of Tomorrow, a Symposium. Chicago; American Library Association, 1939.</p>
<p>Pioneering Leaders in Librarianship. Chicago; American Library Association, 1953.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAUGETTE, ANNIE ROWAN FORNEY",,ANNIE ROWAN FORNEY DAUGETTE,,1876-1974,,,,,,,":</strong></p>
<p>Community and civic leader. Born June 1, 1876, Jacksonville. Parents General John H. and Septima Sexta Middleton (Rutledge) Forney, Married:   Clarence William Daugette,  December 22, 1897.  Children: five. Education:Graduate of Jacksonville State Normal School, 1893; attended Cooper Union School and National Academy of Design in New York. ""First lady"" of Jacksonville State, during her husband's forty-three years as president. Active in many cultural, service, and historical organizations.  Organized the Civic League of Jacksonville; served on the State Advisory Committee of the Federal Writers Project, the State Advisory Committee of the Works Progress Administration, and other governmental agencies and commissions. President of the Alabama Division of the United Daughters of the Confederacy; made honorary Life President in 1952. Campaigned for the restoration of Alabama's Great Seal; personally helped design the  Seal adopted  by the Legislature in 1939. Compiled biographies of Alabama Civil War Generals; wrote historical articles about Jacksonville and Calhoun County.  Received the Jefferson Davis Medal for distinguished service by the UDC. Awarded the honorary Doctorate of Humanities, Jacksonville State University, 1970. Scholarships were established in her name at Huntingdon College and Jacksonville State University.  Elected to Alabama Women's Hall of Fame, 1978.  Died  September 11, 1974.</p>
<p>",":</strong></p>
<p>Forney Forever, by Lee Forney Crawford; Alabama Women's Hall of Fame Website.</p>
<p>","(s):</strong></p>
<p>Historic Jacksonville, Semi Centennial, 1902-1952. Jacksonville, Ala.; General John H. Forney Chapter, United Daughters of the Confederacy, 1952.</p>
<p>The Life of Major General John H. Forney. Jacksonville, Ala.; (mimeographed), 19: .</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIDSON, HENRY DAMON",,HENRY DAMON DAVIDSON,,1869-1955,,,,,,,":</strong></p>
<p>Teacher, school administrator. Born:December 16, 1869, Centerville (an early variant spelling of present Centreville).  Parents:Damon and Adaline (Woods) Davidson. Married:Lula Julia Davis, February 16, 1899 (died 1908); (2) Elizabeth M. Campbell McClellan, September 4, 1913. Education:high school classes at Selma University, graduated from Payne University, Selma, 1893; B. S., Tuskegee Institute, 1934; additional study at Hampton Institute, Columbia University and Fisk University. Established the Centerville Industrial Institute in 1900; it became the Bibb County Training School, 1918. Served as teacher and principal of the school for many years.  Active in African Methodist Episcopal church and in community and civic activities. Served as president of the alumni association for Payne College while it was located in Selma. Honorary Master's Degree, Selma University. Died 1955.</p>
<p>","s:</strong></p>
<p>Ellison, Rhoda Coleman.  Bibb County, Alabama:  The First Hundred Years.  University of Alabama Press, 1984.</p>
<p>Inching Along.</p>
<p>","(s):</strong></p>
<p>Inching Along; or, the Life and Works of an Alabama Farm Boy, an Autobiography. Nashville; National Publication Company, 1944.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIDSON, WILLIAM H.",,WILLIAM H. DAVIDSON,,1913-2006,,,,,,,":</strong></p>
<p>Historian. Born-May 30, 1913, West Point, Ga. Parents Robert C. and Annie D. Davidson. Military service, U.S.Army, World War II.  Worked for West Point Pepperell for forty seven years; after retirement worked as a title and historical researcher in a legal office. Charter member of the Chattahoochee Valley Historical Society; later vice president and president of that organization; member of the Alabama Historical Association; member of the Board of Directors of Bradshaw Regional Library as a representative of Cobb Memorial Archives. Died August 30, 2006.</p>
<p>",":</strong></p>
<p>Files at Alabama Department of Archives and History.</p>
<p>","(s):</strong></p>
<p>Young Folks' Primer of Historic West Point, Georgia. West Point, Ga.; Hester's Print Shop, 1960.</p> <p>Pine Log and Greek Revival; Houses and People of Three Counties in Georgia and Alabama. Alexander City, Ala.; Outlook Publishing Co., 1964.</p><p>Brooks of Honey and Butter; Plantations and People of Meriwether County, Georgia. Alexander City, Ala.; Outlook Publishing Co., 1971.</p><p>Architectural Heritage of West Point-Lanett in the Chattahoochee Valley; in Compliment to Georgia Architectural Seminar and Tour of Georgia College. West Point, Ga.; s.n., 1975.</p> <p>Proudest Inheritance; a Bicentennial Tribute of the Chattahoochee Valley Historical Society. S.l.; s.n., 1975.</p> <p>Word From Camp Pollard. West Point, Ga.; Hester Printing, 1978.</p>
<p>One Hundred Fifty Years of West Point Methodism, 1830-1980. West Point, Ga.; First United Methodist Church, 1980.</p>

				</div>",,"<p><strong>Papers;</strong></p>
<p>The Cobb Memorial Archives at Bradshaw Regional Library hold papers related to William H. Davidson's historical research.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIS, ANGELA YVONNE",,ANGELA YVONNE DAVIS,,1944-present,,,,,,,":</strong></p>
<p>University professor, writer, activist. Born:January 26, 1944, Birmingham. Parents:B. Frank and Sally E. Davis. Education:attended the Sorbonne, 1963-64; Brandeis University, B.A., 1965; graduate study, University of Frankfurt, 1965-1967; University of California at San Diego, M.A., 1968; additional study, 1968-1969. Ph. D. Humboldt University.   Taught philosophy at U.C.L.A., 1969-1970; University of California at Santa Cruz, 1991-2008; San Francisco State University.  Member Black Panthers, Communist Party.  Candidate for U. S. Vice President, Communist Party, 1980 and 1984.  Honorary doctorate, Lenin University. Awarded emerita status at the University of California Santa Cruz on her retirement in 2008.</p>
<p>",":</strong></p>
<p>Contemporary Authors online and Who's Who of American Women, 1979-1980.</p>
<p>","(s):</strong></p>
<p>The Black Woman's Role in the Community of Slaves. Somerville, Mass.; New England Free Press, 1970.</p><p>Angela Davis; an Autobiography. New York; Random House, 1974.</p><p>Women, Race, and Class. New York; Random House, 1981.</p><p>Violence Against Women and the Ongoing Challenge to Racism. Latham, N.Y.; Women of Color Press, 1985.</p>
<p>Women, Culture, and Politics. New York; Random House, 1989.</p>
<p>Blues Legacies and Black Feminism; Gertrude 'Ma' Rainey, Bessie Smith, and Billie Holiday.  Pantheon Books, 1998.</p>
<p><strong>Joint Publications;</strong></p>
<p>If They Come in the Morning; Voices of Resistance.  Third Press, 1971.</p>

				</div>","<p>Policing the National Body; Sex, Race, and Criminalization.  South End Press, 2002.</p><p>Are Prisons Obsolete?  Seven Stories Press, 2003.</p>
<p>Beyond the Frame;  Women of Color and Visual Representation.  Palgrave Macmillan, 2005.</p><p>Abolition Democracy; Beyond Empire, Prisons, and Torture. Seven Stories Press, 2005.</p> <p>The Meaning of Freedom, and Other Difficult Dialogues.  City Lights, 2012.</p> <p>Freedom Is a Constant Struggle.  Haymarket Books, 2015.</p>","<p><strong>Papers;  </strong></p>
<p>The Hoole Special Collections Library at the University of Alabama holds a collection of Angela Davis papers and ephemera covering the years 1971-1984.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIS, CHARLES SHEPARD",,CHARLES SHEPARD DAVIS,,1910-1993,,,,,,,":</strong></p>
<p>Professor of history, college president. Born:August 13, 1910, Mobile. Parents:Matthew and Ruth (Shepard) Davis. Married:Mary Greenfield Merritt, June 6, 1936.  Children: three. Education:Auburn Polytechnic Institute, B.S., 1931; M.S., 1932; Duke University, Ph.D., 1938. U.S. Army Air Force, 1942-45. Assistant professor of history, Auburn, 1937-1942; Florida State University, 1947-1959; professor of history and president of Winthrop College, South Carolina, 1950-1973.  Member of American Council on Education and International Association of College Presidents. Died April 13, 1993.</p>
<p>",":</strong></p>
<p>Directory of American Scholars, 1978.</p>
<p>Who's Who in the South and Southwest, 1973-1974.</p>
<p>","(s):</strong></p>
<p>Cotton Kingdom in Alabama. Montgomery, Ala.; Alabama State Department of Archives and History, 1939.</p> <p>Colin J. McRae; Confederate Financial Agent. Tuscaloosa, Ala.; Confederate Publishing Co., 1961.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>Report of Operations of the U.S. Seventh Army, 1945.</p>
<p><strong>Papers; </strong></p>
<p>Papers of Dr. Davis' tenure as president of Winthrop College are held by the Louise Pettus Archives at Winthrop.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIS, DONALD ECHARD",,DONALD ECHARD DAVIS,,1916-2007,,,,,,,":</strong></p>
<p>Botanist; university professor. Born:January 12, 1916, Charleston, Ill. Parents:Leonard Ernest and Jessie Allie (Echard) Davis. Married:Dorothy Dale Richey, June 5, 1940. Children:Two. Education:Eastern Illinois State University, B.Ed., 1938;  Ohio State University, M.S., 1940; Ph.D., 1947.  Served in the U.S. Army during WWII; awarded four battle stars and the Combat Infantry Medal. Oak Ridge Institute Fellow, 1951. Taught Plant physiology and ecology at Auburn University, 1952-1982.  Member American Society of Plant Physiologists; Weed Society of America; Alabama Academy of Science. Awarded status of professor emeritus on his retirement in 1982.  Honorary D. Ped. by Eastern Illinois State University, 1956.  The Donald E. Davis Arboretum on the Auburn campus, dedicated in 1977,  is named in his honor. Died February 21, 2007.</p>
<p>",":</strong></p>
<p>Who's Who in the South and Southwest, 1975-1976, and Library of Alabama Lives.</p>
<p>","(s):</strong></p>
<p>Effects of Herbicides on Submerged Seed Plants. Auburn, Ala.; Auburn University Department of Botany, 1980.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Guide and Key to Alabama Trees. Dubuque, Iowa; W. C. Brown, 1965. [Editions 2-5 published by Kendal/Hunt, 1972-1999].</p><p>Atrazine Fate and Effects in a Salt Marsh. Gulf Breeze, Fla.; Environmental Research Laboratory, Office of Research and Development, U.S. Environmental Protection Agency, 1979.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIS, GEORGE JACOB",,GEORGE JACOB DAVIS,,1876-1958,,,,,,,":  </strong></p>
<p>Engineer; professor of engineering; university dean. Born:June 28, 1876, Washington, D.C. Parents George Jacob and Nora Ninette Jones Davis.  Married:  Ardelia Barbara Meyer, June 28, 1905.  Children:Two. Education:Attended George Washington University; Cornell University, B.C.E., 1902. Taught engineering at  the University of Wisconsin, 1902-1912; University of Alabama, 1912-1946; dean of the College of Engineering, 1912-46.  Served as engineer for the Alabama State Advisory Committee for Public Works, 1933.  Designed bridges and tunnels for the Tuscaloosa city water works.  One of the original twelve honorary judges for the Fisher Body Craftsman Guild, 1950-53. Member of Phi Beta Kappa; International Rotary Club; Tuscaloosa Chamber of Commerce; Sons of the American Revolution; American Society of Civil Engineers and several other professional engineering organizations.  Honorary D.Sci., University of Alabama, 1931. Died February 28, 1958.</p>
<p>",":</strong></p>
<p>Alabama Alumni Magazine, May-June 1958.</p>
<p>Davis, George Jacob.  <em>Family History.  </em>Tuscaloosa, 1955.</p>
<p>Files at Alabama Department of Archives and History.</p>
<p>","(s):</strong></p>
<p>Family History, With Special Emphasis on the Ancestors of the Brothers, Philip Christopher Davis, George Graham Davis, (and others). Tuscaloosa, Ala.; s.n., 1955.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIS, HARRIET JAMES “JIMMIE” MORROW",,HARRIET JAMES “JIMMIE” MORROW DAVIS,,1896-1978,,,,,,,#Null,#Null,#Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIS, HARWELL GOODWIN",,HARWELL GOODWIN DAVIS,,1882-1977,,,,,,,":</strong></p>
<p>Attorney; State government official;  college president. Born:November 23, 1882, Marengo County. Parents:  Thomas Wyley and Mary Kate Goodwin Davis. Married:Lena Vail, December 15, 1917.  Children:Three. Education:South Alabama Baptist Institute at Thomasville, A.B., 1899; University of Alabama, Bachelor of Laws, 1903. Military service:  U. S. Army Infantry, WWI, 1918-1919; retired at the end of the war with the rank of major. Served as Alabama's first assistant attorney general, 1915-1917; attorney general, 1921-1927; state internal revenue collector, 1933-1939.  Codefied the first Educational Code of Alabama and the first Agricultural Code of Alabama. President, Howard College (now Samford University), 1939-1958. Led in the building of the new Samford campus in Shades Valley and the move to the new campus in 1957. Life member of the Alabama Bar Association;  life member of the Historical Association of the Southern Baptist Convention; Phi Beta Kappa; Omicron Delta Kappa; Phi Delta Phi; the Masons and the Knights of Phythias.  Awarded the honorary LL.D. by the University of Alabama; the honorary Doctorate of Humanities by Birmingham Southern, and the LL.D. by Mobile College.  The Harwell Goodwin Davis Library at Samford University is named in his honor. Died August 5, 1977.</p>
<p>",":</strong></p>
<p>Obituary, Birmingham News, August 6, 1977.</p>
<p>Sulzby, James F., Jr. Toward a History of Samford University, Vol. II.  Birmingham:  Samford University Press, 1986.</p>
<p>Dust Jacket, The Legend of Landsee.</p>
<p>","(s):</strong></p>
<p>Alabama School Code. Montgomery, Ala.; Alabama State Department of Education, 1927.</p><p>The Life and Achievements of Joseph Linyer Bedsole. New York; Newcomen Society in North America, 1962.</p><p>Legend of Landsee. Huntsville, Ala.; Strode, 1976.</p>
<p>Holdings of Physical Copies of Newspapers from Jefferson County Courthouse. S.l.; s.n., 1979.</p>

				</div>",,"<p><strong>Papers; </strong></p>
<p>The papers of Harwell Goodwin Davis are held by the Special Collections Department at the Harwell Goodwin Davis Library at Samford University.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
