AL_AuthorInfo_All(www.lib.ua.eduAlabama_Authors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author_Last_Name_First_Name,Author_Portrait_Link,Author_First_Name_Last_Name,Author_Pseudonym_Name,Author_Dates,City,County,"Place(s) of Education (City, County)",Birth Place,Adult Residence(s) (City),"Place of Death (City, County)",Author_Biography,Source,Book_Publications,Book_Publications_post_2000,Other_Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAILEY, PAUL CLINTON",,Paul Clinton Bailey,,1921-2009,"Baileyton, Birmingham, Montevallo, and Jacksonville","Cullman, Jefferson, Shelby, and Calhoun","Jacksonville, Calhoun",,Birmingham and Montevallo,"Baileyton, Cullman",":</strong></p>
<p>Biologist; University professor. Born:October 26, 1921, Baileyton. Parents:Noel R. and Lemma L. (Roberts) Bailey. Married:Eileen Garmon, October 1, 1944. Children:Three. Education:St. Bernard College; Jacksonville State University, B.S., 1942; Vanderbilt University, M.A., 1946, Ph.D., 1949.  U.S. Army Air Corps, WWII. Taught at Alabama College (now the University of Montevallo), 1947-1963; at Birmingham-Southern, 1963-1985: Chairman of the Biology Department, Chairman of the Division of Math and Science, Academic Dean, and Acting President. Conducted extensive research on lymphoma; published many articles in scientific journals. Member of the Alabama State Board of Examiners in Basic Sciences, American Association for Advancement of Science, Torrey Botanical Club, American Genetic Association, and Alabama Academy of Science.  Mayor of Baileyton, Cullman County, 1985-2008.  Awarded the honorary LL. D., by Birmingham Southern, 1993. Died February 27, 2009.</p>
<p>",":</strong></p>
<p>Who's Who in Alabama, Vol. 2; Who's Who in America, 1980; obituary, Birmingham News, March 1, 2009.</p>
<p>","(s):</strong></p>
<p>An Introduction to Modern Biology. Scranton, Pa.; International Textbook Co., 1969.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Laboratory Guide for an Introduction to Modern Biology. Scranton, Pa.; International Textbook Co., 1970.</p>
<p>Under Siege; Man, Men, and Earth. New York; Intext Educational Publishers, 1973.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>A History of the Alabama Academy of Science. Auburn, Ala.; Alabama Academy of Science, 1963.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAILEY, WILLIAM FIELDS",,William Fields Bailey,Douglas Fields Bailey,1912-1987,Dothan and Tuscaloosa,Dale and Tuscaloosa,"Tuscaloosa, Tuscaloosa",,Dothan,,";</strong></p>
<p>Journalist; novelist. Born:June 23, 1912, Dothan.   Parents; Whack Hill and Willie Baker Bailey.  Married: Louie Liddell Herzberg.  Children: two. Education: attended the University of Alabama and the University of Missouri.  Worked for newspapers in Dothan and in Marianna, Florida.  Worked for an insurance business.  Student of Hudson Strode at the University of Alabama; worked with Strode in the creation of his novel. Published under the pen name Douglas Fields Bailey.  Died November 2, 1987.</p>
<p>",";</strong></p>
<p>Alan T. Belsches, ""Introduction"" to <em>Devil Make a Third.  </em>Library of Alabama Classics Edition. Tuscaloosa:  University of Alabama Press, 1989.</p>
<p>",";</strong></p>
<p>Devil Make a Third.  New York:Dutton, 1948; reprinted Tuscaloosa: University of Alabama Press, 1989.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAKER, GLADYS",,Gladys Baker,,1900-1957,Birmingham,Jefferson,,,Birmingham  ,,":</strong></p>
<p>Syndicated columnist; novelist. Born:about 1900, Jacksonville, FL.  Parents:   A. Herbert Baker and Johnnie Niblo Baker. Married:William H. Oates. Married:William H. Kettig, Jr. Married:Howard E. Coffin. Married:Roy Leonard Patrick. Beginning in 1918, worked for the Jacksonville Metropolis. In 1926 moved to Birmingham and became a feature writer for the Birmingham News. During much of the 1930's wrote a weekly page of copy for the Birmingham News. Beginning about 1937 became syndicated foreign correspondent for the North American Newspaper Alliance. Wrote and published in newspapers two serial novels; ""Sallie's Temptations"" and ""Mr. and Mrs. Sallie."" Retired from newspaper work in 1942.</p>
<p>",":</strong></p>
<p>Files at Birmingham Public Library; Alabama Department of Archives and History; and from New York Times, December 18, 1957.</p>
<p>","(s):</strong></p>
<p>I Had to Know. New York; Appleton Century, 1951.</p>
<p>Our Hearts Are Restless. New York; Putnam, 1955.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAKER, JOHN NEWTON",,John Newton Baker,,1915-unknown,Birmingham and Auburn,Jefferson and Lee,,,Birmingham and Auburn,,":</strong></p>
<p>College professor, public relations director. Parents:Bertsil B. and Bonnie M. (White) Baker. Married:Lula Mae Lawless, July 18, 1935. Education:Howard College. Taught at Howard College and Virginia Polytechnic Institute. Secretary to the head architect of TVA, contributing editor of a national magazine,  public relations director at Auburn University and at Florida State University, personnel interviewer for an industrial firm, and assistant to the president of the University of Richmond. Later worked at MacMurray College in Jacksonville, Ill.</p>
<p>",":</strong></p>
<p>Preface to Your Public Relations are Showing.</p>
<p>","(s):</strong></p>
<p>Sex Education in High Schools. New York; Emerson Books, 1942.</p>
<p>Your Public Relations Are Showing. New York; Twayne, 1958.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAKER, OLA GRACE",,Ola Grace Baker,,1908-2005,Birmingham and Tuscaloosa,"Lamar,  Tuscaloosa, Jefferson, and Lee","Tuscaloosa, Tuscaloosa; Birmingham, Jefferson",,Tuscaloosa,"Tuscaloosa, Tuscaloosa",":</strong></p>
<p>Teacher, counselor, genealogist. Born: July 19, 1908, Lamar County. Parents:Robert Lee and Ethel Cora (Clearman) Baker. Education:Attended Athens College; Birmingham Southern College, A.B., 1931; University of Alabama, M.A., 1947.  Taught in Jefferson County, 1928-1943; served in the U.S. Marine Corps, 1946-1947; served the University of Alabama as counselor to women, assistant dean of women, foreign student advisor, and coordinator of counselling service, 1947 until her retirement in 1970. Received Algernon Sidney Sullivan Award, 1955. Member of Delta Kappa Gamma and conference chairperson of the Commission on Archives and History, member of bicentennial committees. Died July 26, 2005.</p>
<p>",":</strong></p>
<p>Letter from Ola Grace Baker dated September 28, 1983.</p>
<p>","(s):</strong></p>
<p>Flowers of the Field. Tuscaloosa, Ala.; s.n., 1974.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAKER, ROGER DENIO",,Roger Denio Baker,,1902-1994,Birmingham and Tuscaloosa,Tuscaloosa and Jefferson,,,Tuscaloosa and Birmingham,,":</strong></p>
<p>Pathologist. Born:April 10, 1902, East Lansing, Mich. Parents:Ray Stannard and Jessie Irene (Beal) Baker. Married:Eleanor Elizabeth Ussher, September 29, 1929. Children:Three. Education:University of Wisconsin, A.B., 1924; Harvard University, M.D., 1928; attended the University of Kiel and Tulane University. Worked at Johns Hopkins Hospital, Johns Hopkins School of Medicine, Duke University School of Medicine, Medical College of Alabama, Jefferson-Hillman Hospital, Durham V.A. Hospital, Louisiana State University at New Orleans, and Rutgers University Medical School. Member of the American Society of Clinical Pathologists, American Association of Pathologists and Bacteriologists. Died December 25, 1944.</p>
<p>",":</strong></p>
<p>Who's Who in America, 1974-1975.</p>
<p>","(s):</strong></p>
<p>Essential Pathology. Baltimore; Williams & Wilkins, 1951.</p><p>Postmortem Examination; Specific Methods and Procedures. Philadelphia; Saunders, 1967.</p>
<p>The Pathologic Anatomy of Mycoses; Human Infection with Fungi, Actinomycetes, and Algae. New York; Springer-Verlag, 1971.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAKLANOFF, ERIC NICHOLAS",,Eric Nicholas Baklanoff,,1925-2014,Tuscaloosa,Tuscaloosa  ,,,Tuscaloosa,"Tuscaloosa, Tuscaloosa",":</strong></p>
<p>Economist; University professor. Born:December 9, 1925, Graz, Austria. Parents:Nicholas W. and Lucile (King) Baklanoff. Married:H. Christina Janes, May 1, 1956. Married:Joy Driskell. Children: three.  Education:Antioch College, 1943-1944; Ohio State University, B.A., 1949, M.A., 1950; Ph.D., 1958. Served in the U.S. Navy, 1944-1946; worked for Chase National Bank in Puerto Rico, 1950-1954; taught at Louisiana State University, 1958-1961 and 1965-1968; at Vanderbilt University, 1962-1965; and at the University of Alabama, 1969-1992; served as the Board of Visitors Research Professor of Economics at Alabama and as dean of international programs. Awarded Fulbright fellowship, Vanderbilt University fellowship, University of Alabama Research Committee fellowship and grants from Louisiana State University, Wenner-Gren Foundation, and the U. S. Department of State. Honors; Outstanding Scholarship award from the University of Alabama, 1980-1981. Awarded emeritus status on his retirement at Alabama, 1992.  Died June 24, 2014.</p>
<p>",":</strong></p>
<p>Contemporary Authors online; obituary, <em>The Tuscaloosa News.</em></p>
<p>","(s):</strong></p>
<p>Expropriation of U. S. Investments in Cuba, Mexico, and Chile. New York; Praeger, 1975.</p><p>The Economic Transformation of Spain and Portugal. New York; Praeger, 1978.</p>
<p>Copper in Chile: The Expropriation of a Partially Nationalized Industry.  Austin:  University of Texas Press, 1983.</p><p>Spain's Emergence as a Middle Industrial Power. Washington, D.C.; American Enterprise Institute for Public Policy Research, 1985.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Agrarian Reform and Public Enterprise in Mexico. University, Ala.; University of Alabama Press, 1987.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>Mediterranean Europe and the Common Market. University, Ala.; University of Alabama Press, 1975.</p>
<p><strong>Editor_and_Contributor:</strong></p>
<p>New Perspectives of Brazil. Nashville; Vanderbilt University Press, 1966.</p>
<p>The Shaping of Modern Brazil. Baton Rouge, La.; Louisiana State University Press, 1969.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BALL, RICHARD WILLIAM",,Richard William Ball,,1923-1997,Auburn,Lee,,,Auburn,,":</strong></p>
<p>Mathematician; university professor. Born:August 16, 1923, Streator, Ill. Education:University of Illinois, B.A., 1944, M.A., 1945, Ph.D. in mathematics, 1948. Taught mathematics at the University of Washington, 1948-1954; Auburn University  1954-1988. Member of the American Mathematical Society and the Mathematical Association of America. Died January 30, 1997.</p>
<p>",":</strong></p>
<p>American Men and Women of Science: Physical and Biological. 14th ed.</p>
<p>","(s):</strong></p>
<p>Introduction to Modern Algebra and Matrix Theory. New York; Rinehart, 1954.</p>
<p>Principles of Abstract Algebra. New York; Holt, 1963.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BALL, TIMOTHY HORTON",,Timothy Horton Ball,,1826-1913,Franklin Springs and Sheffield,Clarke and Colbert,,,,"Sheffield, Colbert",":</strong></p>
<p>Clergyman; historian; teacher.  Born:February 16, 1826, Agawam, Mass. Parents:Hervey and Jane Ayrault (Horton) Ball. Married:Martha Caroline Creighton, April 19, 1855. Children:Two. Education:Franklin College in Indiana, A.B., 1850, A.M., 1853. Taught at Franklin Springs, Ala. in 1851 and began preaching there a short time later. Most of his life was spent in Clarke County, Ala. Died November 8, 1913.</p>
<p>",":</strong></p>
<p>Dictionary of Alabama Biography.</p>
<p>","(s):</strong></p>
<p>A Land in the Great South-east; or, Clarke County, Alabama, and its Surroundings, from 1540 to 1877. Grove Hill, Ala.; Knight and Leonard, 1882.</p><p>A Glance into the Great South-east; or, Clarke County, Alabama, and its Surroundings, from 1540 to 1877. Grove Hill, Ala.; Knight and Leonard, 1882.</p><p>Lake County, Indiana, 1884; an Account of the Semicentennial Celebration. Crown Point, Ind.; Lake County Star Office, 1884.</p><p>A Dream of Hell, by an Orthodox Dreamer. Crown Point, Ind.; The Register Office, 1886.</p><p>Poems and Hymns. Crown Point, Ind.; Register Office, 1888.</p><p>The Lake of the Red Cedars; or, Will It Live? Thirty Years in Lake County. Crown Point, Ind.; J. H. Ball, 1889.</p><p>Notes on Luke's Gospel. Crown Point, Ind.; Donahue & Henneberry, 1889.</p><p>Annie B., the Dying Girl. Crown Point, Ind.; s.n., 1893.</p><p>Lake County, Indiana, from 1837 to 1872. Chicago; J. Goodspeed, 1873.</p><p>Northwestern Indiana from 1800 to 1900; or, a View of Our Region Through the Nineteenth Century. Crown Point, Ind.; Register Printers, 1898.</p><p>The Home of the Redeemed and Other Discourses. Crown Point, Ind.; Register Printers, 1898.</p><p>Mount Vernon, Alabama. Washington, D.C.; Southern History Association, 1898.</p><p>Francis Ball's Descendants. Crown Point, Ind.; J. J. Wheeler, 1902.</p>
<p>Genealogical Record of the Dinwiddie Clan of Northwestern Indiana. Crown Point, Ind.; J. J. Wheeler, 1902.</p><p>Inspired Scriptures. Crown Point, Ind.; J. J. Wheeler, 1903.</p>
<p>Encyclopedia of Genealogy of Lake County, Indiana, with a Compendium of History, 1834-1904; a Record of the Achievements of its People in the Making of a Commonwealth. Chicago; Lewis Pub. Co., 1904.</p>
<p>Old Truth in a New Setting. Crown Point, Ind.; J. J. Wheeler, 1906.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>The Creek War of 1813 and 1814. Montgomery, Ala.; White Woodruff & Fowler, 1895.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BALLARD, JAMES CLARENCE",,James Clarence Ballard,,1921-1990,Florance,Lauderdale,,,,,":</strong></p>
<p>Born: December 28,  1921, Florence, Ala. Parents: William and Mittie Ballard. Lived early part of life in Alabama, Tennessee, and Virginia. During WWII, he served four years in the Air Corps as a radar observer;  served in the Strategic Air Command during the Korean Conflict. Education:University of Virginia and St. John's College in Annapolis. Lived in Virginia and in Atlanta, Ga. Died October 1, 1990.</p>
<p>",":</strong></p>
<p>Bert Hitchcock; ancestry.com</p>
<p>","(s):</strong></p>
<p>But a Little Moment. New York; E.P. Dutton, 1950.</p>
<p>The Long Way Through. Boston; Houghton, Mifflin, 1959.</p>
<p>Rolling All the Time; Stories. Urbana; University of Illinois Press, 1976.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BANCROFT, BETSY BARBER",,Betsy Barber Bancroft,,unknown-present,Birmingham,Jefferson,"Birmingham, Jefferson",,Birmingham,,":</strong></p>
<p>Poet. Born Birmingham. Parents:Judge William C. Barber and Frances Barber.  Married:Joseph Bancroft. Children:Three. Education:Howard College (now Samford University). Served as a poet-in-residence in several school systems of the state including Fort Payne and Montgomery. Member of the National League of American Pen Women; the Women's Committee of 100 for Birmingham; the Alabama State Poetry Society; and the Bluff Park Art Association.  Received the Printing Industries of American Award of Excellence in Printing and design for <em>Wild Honeysuckle</em>;  received the Alabama Historical Association Award of Merit.</p>
<p>",":</strong></p>
<p>Files at Alabama Public Library Service; Pelican Press website.</p>
<p>","(s):</strong></p>
<p>Wild Honeysuckle. Gretna, La.; Pelican Press, 1966.</p><p>Belongings; a Retrospective Journal of the South. Natchitoches, La.; Northwestern State University Press, 1980. Green Again. Gretna, La.; Pelican Pub. Co., 1971.</p>
<p>Heir's Song. Birmingham, Ala.; Heirship Press, 1976.</p>

				</div>","<p>Green Again.  Pelican Press, 2012.</p>","<p><strong>Papers;</strong> A collection of the papers of Betsy Barber Bancroft is held by the Eugene P. Watson Memorial Library at Northwestern State University, Natchitoches, Louisiana.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BANDMAN, LOTTIE COPLAN",,Lottie Coplan Bandman,,1891- 1971,Florance and Birmingham,Lauderdale and Jefferson,"Florance, Lauderdale",,Birmingham,,":</strong></p>
<p>Teacher. Born: January 20, 1891,  Florence. Parents: Morris and Lena Jacob Coplan. Married: Chester G Bandman, December 25, 1917. Children: two.  Education:Florence State Normal College; postgraduate studies in Germany.  Taught in Birmingham. Lived in Birmingham and in Pittsburgh, PA. Died July 10, 1971.</p>
<p>",":</strong> Files at Alabama Public Library Service.</p>
<p>","(s):</strong></p>
<p>Flowers and Festivals of the Jewish Year. New York; Hearthside Press, 1964.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BANDY, WAY",,Way Bandy,,1941-1986,Birmingham,Jefferson,"Birmingham, Jefferson",,,,":</strong></p>
<p>Beauty consultant; makeup artist. Born:August 9, 1941, Birmingham (name at birth: Ronald Duane Wright).  Education:Birmingham-Southern; Tennessee Technological University; Christine Valmy Beauty School. Taught American and English Literature in the public schools of Tennessee and Maryland for four years in the early 60's; in 1967, moved to New York and worked until 1971 as salon and makeup director for Lanvin-Charles of the Ritz. After 1972, freelance face designer for fashion magazines and for cosmetic advertising in television commercials, films and the theater. Became one of the most sought-after beauty consultants, having as some of his clients Nancy Reagan, Madonna, Catherine Deneuve and Elizabeth Taylor. Worked with well-known photographers to produce magazine articles and picture spreads.  Died August 13, 1986.</p>
<p>",":</strong></p>
<p>Designing Your Face; Time, August 25, 1986; obituary, NYTimes, August 1986.</p>
<p>","(s):</strong></p>
<p>Designing Your Face. New York; Random, 1977.</p>
<p>Styling Your Face. New York; Random, 1981.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BANISTER, GARY L.",,Gary L. Banister,,1948-present,Tuscaloosa and Geneva,Tuscaloosa and Geneva,"Tuscaloosa, Tuscaloosa",,Geneva,,":</strong></p>
<p>Park director. Born:February 14, 1948, Summerville, Ga. Parents:Paul K. and Virginia (Abrams) Banister. Married:Trudy Hagan, August 20, 1971. Children:One. Education:University of Alabama, B.S., 1972. Worked as an auditor for Consultant Services Company of Salisbury, N.C.; recreation director at Camilla, Ga.; park and recreation director at Geneva, Ala.; federal grant administrator, Elmore County. Member of the National Park and Recreation Association, Alabama Park and Recreation Society, and Geneva County Development Committee.</p>
<p>",":</strong></p>
<p>Contemporary Authors online</p>
<p>","(s):</strong></p>
<p>My War With God. Grand Rapids, Mich.; Zondervan, 1973.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BANKHEAD, TALLULAH BROCKMAN",,Tallulah Brockman Bankhead,,1903-1968,Huntsville,Madison,,,,,":</strong></p>
<p>Actress. Born:January 31, 1902, Huntsville. Parents:William Brockman and Adelaide Eugenia (Sledge) Bankhead. Married:John Emery, August 31, 1937, divorced June 13, 1941. Education:Convent of the Sacred Heart in Manhattanville, NY. Abandoned school to attempt an acting career. Had a few minor roles in New York, then was invited to appear on the London stage. Went to London in 1923 and became a sensation as an actress with an enormous following; became a role model for the rebellious young generation. Appeared onstage in ""Reflected Glory,"" ""Dark Victory,"" ""Forsaking All Others,"" ""The Little Foxes,"" and ""Skin of Our Teeth"" Acted in some 300 stage, film, television, and radio roles. Honors; New York Film Critics Award for her appearance in Alfred Hitchcock's ""Lifeboat,"" 1944; American Theater Hall of Fame, 1972; Alabama Women's Hall of Fame, 1981. Died December 12, 1968.</p>
<p>",":</strong></p>
<p>Notable American Women, the Modern Period.</p>
<p>","(s):</strong></p>
<p>Tallulah; My Autobiography. New York; Harper, 1952.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAREFIELD, MARILYN DAVIS HAHN",,Marilyn Davis Hahn Barefield,,1926-2005,Birmingham,Jefferson,,,Birmingham,"Birmingham, Jefferson",":</strong></p>
<p>Genealogist; historian. Born:June 11, 1926, Birmingham. Parents:Fred Lewis and Gladys Scott (Sims) Davis. Married:Richard Neal Hahn, 1950 (divorced 1973). Children:Three. Married:Carr Byron Barefield, 1983. Married Frederick Mitchell Jackson, December 10, 1993. . Education:Attended Huntingdon College for two years. Worked for Vulcan Materials Company, 1945-1950; Lincoln National Life Insurance Company, 1972-1981; executive secretary of the Birmingham Historical Society after 1982; served as secretary, vice-president and president of the Alabama Historical Commission. Honors; Alabama Historical Commission, Award of Merit, 1978. Died October 1, 2005.</p>
<p>",":</strong></p>
<p>Marilyn Barefield, Birmingham, Ala.; Obituary, findagrave.com</p>
<p>","(s):</strong></p>
<p>Old Cahaba Land Office Records and Military Warrants, 1817-1853. Mobile, Ala.; Old South Printing and Publishing Co., 1981.</p><p>Alabama Mortality Schedule, 1950. Easley, S.C.; Southern Historical Press, Inc., 1983.</p>
<p>Clarke County, Alabama Records, 1814-1885. Easley, S.C.; Southern Historical Press, Inc., 1983.</p><p>Old St. Stephen's Land Office Records & American State Papers, Public Lands. Easley, S.C.; Southern Historical Press, Inc., 1983.</p><p>Old Sparta and Elba Land Office Records and Military Warrants, 1822-1860. Easley, S.C.; Southern Historical Press, Inc., 1983.</p>
<p>Old Tuskaloosa Land Office Records and Military Warrants, 1821-1855. Easley, S.C.; Southern Historical Press, Inc., 1984.</p>
<p>Historical Records of Randolph County, Alabama, 1832-1900. Easley, S.C.; Southern Historical Press, Inc., 1985.</p>
<p>Old Huntsville Land Office Records and Military Warrants, 1810-1854. Easley, S.C.; Southern Historical Press, Inc. 1985.</p>
<p>Old Montgomery Land Office Records and Military Warrants, 1834-1869. Birmingham, Ala.; Southern University Press, 1991.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Pickens County, Alabama, 1841-1861. Easley, S.C.; Southern Historical Press, Inc., 1984.</p>

				</div>",,"<p><strong>Compiler:</strong></p>
<p>Butler County, Alabama, Obituaries: from Alabama Christian Advocate, Greenville Advocate. Easley, S.C.; Southern Historical Press, Inc., 1985.</p>
<p>Butler County in the Nineteenth Century. Birmingham, Ala.; Privately Published, 1978.</p>
<p>Cemeteries of Jefferson County, Alabama. Birmingham, Ala.; Birmingham Genealogical Society and Birmingham Public Library, 1982-.</p>
<p>Map Reproductions; a New Map of Alabama with its Roads and Distances From Place to Place, Along the Stage and Steam Boat Routes. Easley, S.C.; Southern Historical Press, Inc., 1985.</p>
<p>Railroad and County Map of Alabama. Easley, S.C.; Southern Historical Press, Inc., 1984.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BARKER, LARRY LEE",,Larry Lee Barker,,1941-2016,Auburn,Lee,,,Auburn,,":</strong></p>
<p>University professor of communications. Born:November 22, 1941, Wilmington, Ohio. Parents:Milford and Ruth Maxine Barker. Married:1961. Children:Two. Education:University of Ohio, A.B., 1962, M.A., 1963, Ph.D., 1965. Taught at Southern Illinois University, 1965-1966; Purdue University, 1966-1969; Florida State University, 1969-1976; Auburn University, 1976-1995. President Spectra Inc., 1979-2000. Awarded emeritus status on his retirement at Auburn.</p>
<p>",":</strong></p>
<p>Contemporary Authors online; Directory of American Scholars, 1981.</p>
<p>","(s):</strong></p>
<p>Listening Behavior. Englewood Cliffs, N.J.; Prentice-Hall, 1971.</p><p>Communication Vibrations. Englewood Cliffs, N.J.; Prentice-Hall, 1974.</p><p>Communication. Englewood Cliffs, N.J.; Prentice-Hall, 1982.</p>
<p>Introduction to Listening; a Programmed Approach. New Orleans, La.; Spectra, 1988.</p>
<p>Listening Skills; Objectives and Criterion Reference Exercises. New Orleans, La.; Spectra, 1988.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Nonverbal Communication. San Francisco; Chandler, 1967.</p>
<p>Speech: Interpersonal Communication. San Francisco; Chandler, 1967.</p><p>Behavioral Objectives and Instruction. Boston; Allyn and Bacon, 1970.</p><p>Groups in Process; an Introduction to Small Group Communication. Englewood Cliffs, N.J.; Prentice-Hall, 1979.</p>
<p>Effective Listening; Key to Your Success. Reading, Mass.; Addison-Wesley, 1983.</p>
<p>Measurement of Communication Behavior. White Plains, N.Y.; Longman, 1989.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>Communication in the Classroom; Original Essays. Englewood Cliffs, N.J.; Prentice-Hall, 1982.</p>
<p><strong>Joint_Editor:</strong></p>
<p>Conceptual Frontiers in Speech-Communication; Report (of the New Orleans Conference on Research and Instructional Development). New York; Speech Association of America, 1969.</p>
<p>Speech Communication Behavior; Perspectives and Principles. Englewood Cliffs, N.J.; Prentice-Hall, 1971.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BARKER, SAMUEL BOOTH",,Samuel Booth Barker,,1912-2002,Birmingham,Jefferson,,,Birmingham,,":</strong></p>
<p>Professor  of physiology and biology;  university administrator. Born:March 3, 1912, Montclair, N.J. Parents:Harry and Marion (Booth) Barker. Married:Justine Rogers, July 31, 1934. Education:University of Vermont, B.S., 1932; Yale University, 1932-1934; Cornell University, Ph.D., 1936. College of Medicine of the University of Tennessee, medicine fellow, 1936-1941, instructor in physiology, 1941-1944; taught at the University of Iowa, 1944-1953; University of Vermont, 1962-1965; University of Alabama in Birmingham, 1952-1990; Dean of the Graduate School at UAB, 1970-1978.   Life member of the American Association for the Advancement of Science; member of many other professional organizations. Awarded status of Dean Emeritus on his retirement at UAB, 1990. Honorary Sc. D., University of Alabama, 1979; Sc. D., University of Vermont, 1984. Died September 3. 2002.</p>
<p>",":</strong></p>
<p>Marquis who's who online</p>
<p>","(s):</strong></p>
<p>Basic Endocrinology for Students of Biology and Medicine. Philadelphia; F. A. Davis Publishing Co., 1962.</p>
<p>A History of the Alabama Academy of Science. Auburn, Ala.; Alabama Academy of Science, 1963.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BARKSDALE, JELKS",,Jelks Barksdale,,1901-1987,"Fernbank, Tuscaloosa, and Auburn","Lamar,  Tuscaloosa, and Lee","Tuscaloosa, Tuscaloosa",,Auburn,"Auburn, Lee",":</strong></p>
<p>Chemist; University professor. Born:September 30, 1901, Fernbank. Married:1937. Children:One. Education:University of Alabama, B.S., 1922; M.S., 1930; Columbia University, M.A., 1931, Ph.D., 1934. Served in US Army, Quartermaster Corps, WWII.Employed as chemical engineer for the U. S. Bureau of Mines in Alabama, 1922-1927; staff geologist for the Alabama State Geological Survey, 1927-1930; research chemist for Carleton Ellis Laboratory, 1935-1937; National Lead Company, 1937-1942; associate professor of chemistry at Auburn University 1946-56. Died November 19, 1987.</p>
<p>",":</strong></p>
<p>American Men and Women of Science, 12th ed.</p>
<p>","(s):</strong></p>
<p>Lignite in Alabama. University, Ala.; Geological Survey of Alabama, 1929.</p><p>Possible Salt Deposits in the Vicinity of the Jackson Fault, Alabama. University, Ala.; Geological Survey of Alabama, 1929.</p>
<p>Ochers of Alabama. University, Ala.; Geological Survey of Alabama, 1930.</p><p>Thermodynamic properties of dilute thallous chloride solutions.  New York, 1933.</p><p>General Chemistry for Colleges. New York; Longman, 1950.</p>
<p>General Chemistry for Laboratories.  New York:  Longmans, 1951.</p><p>Qualitative Analysis.  Auburn, 1952.</p><p>Semimicro qualitative analysis.  N.P., 1952.</p>
<p>Qualitative Analysis and ionic equilibria.  Auburn, 1963.</p><p>Cation and Anion Identification. S.l.; s.n., 1963.</p><p>Titanium; Its Occurence, Chemistry, and Technology. New York; Ronald Press, 1949; 1966.</p><p>Let's Write That Book. Auburn, Ala.; Author, 1970.</p><p>Doctor Bill. Auburn, Ala.; Barksdale Books, 1976.</p><p>Let's Stop Inflation Now. Auburn, Ala.; s.n., 1979.</p>
<p>Development of the Christian Faith.  Auburn:  Luxapillila, 1981.</p>
<p>Religion around the World. Auburn:  Luxapillila, 1981.</p><p>A Study of religion. Auburn, AL:  Luxapallila Press, 1981.</p>
<p>Statistics of the Mineral Production of Alabama, 1926-1928.  University of Alabama.</p>

				</div>",,"<p><strong>Papers;</strong></p>
<p>The Ralph Brown Draughon Library at Auburn University holds a collection of the papers of Jelks Barksdale.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
